,Município,<1 Ano,1-4,5-9,10-14,15-19,20-34,35-49,50-64,65-79,80 e+,Codigo
340,Santo Amaro,3,4,3,10,8,30,25,16,5,2,292860
341,Santo Antônio de Jesus,20,26,42,52,91,284,271,107,25,4,292870
342,Santo Estêvão,7,14,16,27,25,123,104,34,17,4,292880
343,São Desidério,3,2,2,6,5,40,36,18,5,0,292890
344,São Domingos,2,9,24,31,38,38,46,27,11,2,292895
345,São Felipe,0,0,0,0,0,2,1,0,0,1,292910
346,São Félix,1,2,6,5,14,26,24,21,13,1,292900
347,São Félix do Coribe,2,11,19,19,9,35,21,10,3,1,292905
348,São Francisco do Conde,2,3,5,2,6,13,9,3,0,0,292920
349,São Gabriel,0,2,5,10,7,24,33,21,7,0,292925
350,São Gonçalo dos Campos,5,7,6,4,12,54,46,20,4,1,292930
351,São José da Vitória,1,2,0,7,10,11,7,1,0,0,292935
352,São José do Jacuípe,1,3,12,12,17,24,21,24,14,6,292937
353,São Miguel das Matas,0,0,2,1,5,6,6,1,1,0,292940
354,São Sebastião do Passé,1,1,4,4,4,23,37,16,7,1,292950
355,Sapeaçu,0,0,0,0,0,6,5,3,2,0,292960
356,Sátiro Dias,1,2,2,2,2,14,2,1,1,0,292970
357,Saubara,0,0,0,0,1,0,4,1,1,0,292975
358,Saúde,0,0,1,1,0,1,3,1,1,0,292980
359,Seabra,32,31,66,91,119,341,330,187,78,16,292990
360,Sebastião Laranjeiras,7,16,17,21,15,54,55,27,8,3,293000
361,Senhor do Bonfim,17,38,78,100,65,134,113,52,16,0,293010
362,Sento Sé,0,1,0,0,0,5,1,1,1,1,293020
363,Serra do Ramalho,1,0,2,0,1,4,2,3,0,0,293015
364,Serra Dourada,2,0,1,2,1,4,4,6,2,0,293030
365,Serra Preta,1,3,3,3,6,18,29,22,17,3,293040
366,Serrinha,25,41,80,93,113,435,399,236,109,35,293050
367,Serrolândia,5,9,20,15,15,53,60,37,19,6,293060
368,Simões Filho,20,23,59,69,97,380,256,126,46,4,293070
369,Sítio do Mato,5,6,9,8,18,37,41,33,9,3,293075
370,Sítio do Quinto,1,0,4,3,1,8,6,2,0,0,293076
371,Sobradinho,18,11,34,57,73,188,146,84,13,4,293077
372,Souto Soares,2,4,12,15,39,81,81,43,18,2,293080
373,Tabocas do Brejo Velho,0,0,1,0,0,1,0,0,0,0,293090
374,Tanhaçu,4,11,28,47,50,123,92,54,15,5,293100
375,Tanque Novo,0,0,0,0,1,0,2,0,0,0,293105
376,Tanquinho,3,2,10,12,21,56,56,27,16,5,293110
377,Taperoá,1,3,6,7,6,20,24,16,5,1,293120
378,Tapiramutá,3,0,0,2,0,1,3,5,1,0,293130
379,Teixeira de Freitas,11,29,36,69,110,310,250,116,32,10,293135
380,Teodoro Sampaio,2,0,3,5,7,17,16,5,0,1,293140
381,Teofilândia,2,4,9,14,13,29,25,19,9,3,293150
382,Teolândia,0,0,0,1,0,3,2,0,0,1,293160
383,Terra Nova,1,3,0,0,3,12,7,3,1,0,293170
384,Tremedal,0,0,1,7,4,19,12,4,4,0,293180
385,Tucano,17,21,31,42,46,99,66,52,28,7,293190
386,Uauá,0,11,15,16,17,34,34,16,8,2,293200
387,Ubaíra,6,15,11,17,15,79,66,33,18,6,293210
388,Ubaitaba,0,3,6,7,17,17,17,11,3,0,293220
389,Ubatã,0,2,6,12,15,37,19,13,6,0,293230
390,Uibaí,7,12,34,52,41,121,129,99,50,13,293240
391,Umburanas,4,3,6,6,9,29,30,16,7,0,293245
392,Una,3,2,5,3,7,17,22,10,1,2,293250
393,Urandi,0,0,1,0,2,3,1,1,0,0,293260
394,Uruçuca,2,4,5,6,16,47,35,21,8,0,293270
395,Utinga,0,1,1,3,4,16,14,6,0,1,293280
396,Valença,7,4,10,12,19,57,57,29,7,0,293290
397,Valente,14,69,117,126,124,260,225,122,48,10,293300
398,Várzea da Roça,4,3,3,8,4,15,20,12,6,2,293305
399,Várzea do Poço,0,0,0,0,1,0,0,0,0,0,293310
400,Várzea Nova,1,2,3,2,6,20,6,10,5,1,293315
401,Varzedo,1,0,0,1,0,1,2,1,1,0,293317
402,Vera Cruz,10,5,19,40,60,172,202,128,42,7,293320
403,Vereda,1,0,0,0,2,3,0,0,0,0,293325
404,Vitória da Conquista,127,196,268,391,532,0,0,904,253,38,293330
405,Wagner,0,0,3,8,2,18,10,6,6,1,293340
406,Wanderley,0,0,0,0,0,1,0,0,0,0,293345
407,Wenceslau Guimarães,0,2,1,3,2,18,19,5,2,0,293350
408,Xique-Xique,1,4,3,1,1,2,3,2,2,0,293360
